word,TFIDF_prev2,TFIDF_prev1,TFIDF,TFIDF_next1,TFIDF_next2,TF_prev_2,TF_prev_1,TF,TF_next_1,TF_next_2,first_occurrence,last_occurrence,length,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,keyword
Arabidopsis,0.0046845425927489,0.0124620777781897,0.0,0.0072265286987394,0.0033731744934032,0.1388435488992244,0.0453744864883291,0.0,0.0179608409797154,0.0590588596678785,0.0017644317198215,0.8253545509021906,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Nutritional,0.0029182191327538,0.0006653761338587,0.0003072686445323,0.0036040146166457,0.0019314960654506,0.031166798546664,0.0004464157890277,0.0002061534332421,0.00486790416074,0.0037878876512536,0.8942425652523373,0.8942425652523373,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Sequence,0.0031062961785685,0.0006591699229123,0.012510740368272,0.0032221820468564,0.0029946941885322,0.0034162326417459,0.0003439529154411,0.0791584759867748,0.0050226775726532,0.0241386398363502,0.418855412250013,0.7082658868988565,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
infected,0.0220232693170586,0.0025677444561181,0.0144958128452987,0.014635349933601,0.0124620777781897,0.1129872878591185,0.0047347679397617,0.0324558362001346,0.0208071997732365,0.0453744864883291,0.0297246322142587,0.9902929712058344,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
cytometry,0.0162697578370086,0.0048457842661354,0.0024075009920591,0.0032047633838299,0.0034296786030476,0.0520485421665778,0.0081074507211094,0.001977439623332,0.0476620275014733,0.0066144385700708,0.1948462354188759,0.9496076352067868,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
filters,0.0029554850217005,0.0016378525398414,0.0011090249279629,0.0026200986944771,0.000809026634171,0.0056999143020081,0.001815371331412,0.0011525792387045,0.0070359771004448,0.0006322338988063,0.421310861423221,0.4274157303370786,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Cytometry,0.0041342286482122,0.0048457842661354,0.0024075009920591,0.0032047633838299,0.0004003249486977,0.0107389526848572,0.0081074507211094,0.001977439623332,0.0476620275014733,0.0001672497894158,0.0011892570446962,0.0011892570446962,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
lack,0.0008086330039464,0.0024172130912486,0.0030109467099402,0.002961330467013,0.0119233660319532,0.000740136882499,0.0060409339147929,0.0130506604337209,0.0052480602548165,0.0487950433401636,0.386496307584105,0.4231391396084867,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Kinases,0.0007982260787583,0.015425811701531,0.0028958349147183,0.0058014391459101,0.0045637483917804,0.0005727900990815,0.1016328559522017,0.0024896994933426,0.0174281576106289,0.0137880419574677,0.2512322719162962,0.2512322719162962,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
tat,0.0037181793899501,0.0036248546691942,0.0005757203526327,0.015425811701531,0.0026682532555785,0.0043129514061839,0.0069908528786089,0.1305749209831119,0.1016328559522017,0.0153818967476796,0.0078408937945887,0.9834432628886794,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
probed,0.0,0.0,0.0017619254161565,0.0022877887339936,0.0078341860585776,0.0,0.0,0.002013488072055,0.003130452043063,0.0164196962115651,0.4296675191815857,0.5726881141472607,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False
MEDLINE,0.0029600854190186,0.0021805112452198,0.0,0.0048779348097402,0.0010263249935873,0.0188797689727414,0.0026230693753618,0.0,0.0145710157399354,0.0009111521905673,0.0238855433860081,0.9083377116760296,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
